 TYPE    TIME_HRS_
 ------- ----------------------- 
 ALL               5981.10888888 
 CAL                151.45583333 
 JLS_ALL           3674.00333333 
 CLS               1679.09888888 
 DDS                313.81027777 
 GBS                417.38055555 
 JPS                474.05583333 
 NGS                177.75277777 
 SASSY              611.90500000 
 PI_ALL            2155.64972222 
 Canada             339.75277777 
 DDT                 56.77166666 
 GT                  55.74972222 
 Int.                33.94027777 
 NL                  45.34222222 
 Service             24.83750000 
 Staff               28.99333333 
 UH                 667.73583333 
 UK                 902.52638888 
