Tilenum, RMS
0, 0.1526
8194, 0.3951
3, 0.2931
6, 0.5017
28915, 0.6853
8202, 0.3045
21847, 0.2617
8204, 0.2169
8206, 2.2453
46919, 0.2785
16405, 0.3579
16406, 0.1838
16409, 0.3683
16410, 0.2451
16411, 0.7356
8220, 0.2229
8222, 0.7515
16415, 0.4006
8224, 0.0843
8226, 0.3178
16421, 0.4798
16425, 0.2497
16428, 0.4796
16429, 0.3584
16431, 0.2903
12296, 0.1480
16435, 0.2109
16436, 0.3513
16437, 0.3389
3275, 0.3535
16439, 0.2532
16440, 0.3548
16441, 0.2115
16442, 0.5021
21855, 0.2660
16444, 0.4537
12298, 0.2027
16446, 0.3833
16448, 0.1721
16449, 0.3747
16451, 0.1781
16452, 0.4007
16453, 0.3552
25953, 0.2097
8264, 0.2968
73, 0.2092
8266, 0.5420
16459, 0.3480
76, 0.4509
16462, 0.4010
27320, 0.1804
16467, 0.3974
16473, 0.1714
16475, 0.1672
16476, 0.2155
16477, 0.3990
21861, 0.2968
16480, 0.2448
97, 0.6260
16483, 0.3812
16485, 0.2630
16486, 0.1419
16489, 0.1734
8299, 0.4015
8300, 1.1468
16496, 0.5402
25960, 0.2177
17769, 0.1230
27327, 0.2009
25962, 0.2364
25963, 0.3175
16520, 0.4068
16522, 0.4135
141, 0.2257
8338, 0.3244
16532, 0.3976
16536, 0.3379
153, 0.2793
155, 0.1487
21872, 0.3819
16547, 0.2941
16553, 0.2092
8365, 0.1261
180, 0.1345
181, 0.1185
24758, 0.4787
183, 0.1038
8377, 0.2150
24764, 0.5027
24765, 0.2949
8385, 0.4685
18010, 2.2074
8397, 0.1253
206, 0.2733
207, 0.1848
31104, 1.1726
21551, 0.2609
15556, 0.2947
25649, 0.3704
246, 0.3622
24823, 0.2102
30287, 0.3197
252, 0.2536
39935, 0.3369
16646, 0.3688
24840, 0.1912
24841, 0.3447
24842, 0.1386
8459, 0.1380
24845, 0.1869
24847, 0.2748
16661, 0.2280
24855, 0.5463
30999, 4.1564
30561, 0.4969
42992, 0.2996
27771, 0.2491
16702, 0.1672
16708, 0.4392
16438, 0.2446
16711, 0.2978
1420, 0.8134
24631, 0.2027
27913, 0.2628
1421, 0.3583
26189, 0.1146
338, 0.2163
339, 0.3184
24916, 0.3517
16725, 0.1684
28304, 1.4042
24924, 0.1226
24926, 0.1458
30836, 0.4974
16739, 0.1666
16742, 0.1220
26001, 0.2326
8552, 0.1104
8553, 0.1154
363, 0.1276
16749, 0.1265
16445, 0.1868
8562, 0.1966
26003, 0.2305
24949, 0.3338
24951, 0.2822
17812, 0.1470
8571, 0.1354
35562, 0.1730
24958, 0.1563
17813, 0.1524
17814, 0.1643
17815, 0.1624
16782, 0.1441
16785, 0.3809
16787, 0.3100
26746, 0.5508
16926, 0.4114
47205, 0.2659
35570, 0.1287
16456, 0.1857
35571, 0.2757
42993, 0.3221
25035, 0.1459
16852, 0.0938
16854, 0.1688
16855, 0.1652
16858, 0.1478
16859, 0.1282
16861, 0.1405
25056, 0.2597
8673, 0.6063
25058, 0.2195
8675, 0.8294
16871, 0.1435
491, 0.2683
8687, 0.1180
