# (YYYYMMDD.frac) (YYYY-MM-DDThh:mm:ss) () () () (um) (deg)  () ()  () () (pW)  (pW)  (pW)  (pW)  (pW)  (Jy/asec^2/pW)  (Jy/asec^2/pW)  (Jy/bm/pW)  (Jy/bm/pW)  (Jy/pW)  (Jy/pW)  (")  ()
# UT   HST  Obs  Source  Mode  Filter  El  Airmass  Trans  Tau225  Tau  Flux_ap  Err_ap  Noise  Peak_obs  Peak_fit  FCFasec  FCFasec_err  FCFbeam  FCFbeam_err  FCFmatch  FCFmatch_err  FWHMmain  Error_beam
20110512.6531597  2011-05-12T05:40:33    66  URANUS  daisy        850  34  1.75  0.388  0.122  0.540  22.5508  0.0272  0.00008  0.08739  0.09241  2.6081  0.0031  622.1422  7.0733  639.1611  12.3015  13.98  0.952
20110910.5060532  2011-09-10T02:08:43    41  URANUS  daisy        850  66  1.09  0.795  0.050  0.211  28.5219  0.0302  0.00003  0.11705  0.12750  2.4295  0.0026  529.1179  6.3271  558.3113  10.1851  13.29  0.948
20111005.5191204  2011-10-05T02:27:32    45  URANUS  daisy        850  43  1.46  0.388  0.145  0.649  27.6502  0.0302  0.00007  0.10871  0.11760  2.5094  0.0027  574.4169  6.9695  602.0282  12.5469  13.64  0.951
20111008.4965625  2011-10-08T01:55:03    56  URANUS  daisy        850  47  1.35  0.522  0.109  0.481  25.1552  0.0234  0.00005  0.10350  0.10892  2.7550  0.0026  619.4639  7.7539  664.3027  15.1616  13.39  0.949
20111009.5319213  2011-10-09T02:45:58    58  URANUS  daisy        850  35  1.72  0.581  0.073  0.315  25.9093  0.0290  0.00006  0.10346  0.11048  2.6736  0.0030  610.4359  8.1506  673.4884  13.8141  13.61  0.951
20111010.5149537  2011-10-10T02:21:32    38  URANUS  daisy        850  40  1.55  0.590  0.078  0.340  26.5201  0.0245  0.00005  0.10921  0.11250  2.6108  0.0024  599.2104  7.8938  657.0131  13.8165  13.53  0.949
20111223.3340741  2011-12-22T22:01:04    27  URANUS  daisy        850  31  1.90  0.694  0.046  0.193  23.8777  0.0257  0.00005  0.09826  0.10321  2.6311  0.0028  594.0704  6.9209  628.7642  12.3067  13.61  0.950
20111224.3318171  2011-12-23T21:57:49    22  URANUS  daisy        850  31  1.90  0.729  0.040  0.166  24.1639  0.0260  0.00006  0.10127  0.10487  2.5954  0.0028  583.6974  6.3462  610.7939  12.9895  13.52  0.949
20111226.1928588  2011-12-25T18:37:43    11  URANUS  daisy        850  68  1.08  0.874  0.031  0.125  24.3641  0.0219  0.00004  0.09207  0.09881  2.5659  0.0023  617.5870  11.2126  704.0994  16.1387  14.12  0.953
20111227.1937500  2011-12-26T18:39:00    14  URANUS  daisy        850  68  1.08  0.740  0.065  0.280  24.2625  0.0277  0.00004  0.10318  0.10815  2.5723  0.0029  563.3085  7.1678  618.8430  11.9826  13.34  0.948
20111227.3295255  2011-12-26T21:54:31    32  URANUS  daisy        850  29  2.01  0.573  0.065  0.277  23.6309  0.0279  0.00006  0.09916  0.10155  2.6404  0.0031  599.7611  6.1838  616.4777  13.1393  13.59  0.948
20111228.1904861  2011-12-27T18:34:18    13  URANUS  daisy        850  68  1.08  0.810  0.047  0.195  24.0478  0.0267  0.00004  0.10798  0.11092  2.5909  0.0029  548.3220  6.4061  609.6782  12.1342  13.10  0.945
20111228.3347685  2011-12-27T22:02:04    34  URANUS  daisy        850  27  2.19  0.701  0.040  0.162  23.0501  0.0321  0.00005  0.09596  0.09908  2.7023  0.0038  613.6877  7.5386  677.8405  11.3777  13.72  0.949
20111229.2513542  2011-12-28T20:01:57    15  URANUS  daisy        850  53  1.25  0.655  0.078  0.339  24.3259  0.0258  0.00005  0.09877  0.10646  2.5566  0.0027  570.2824  7.2003  618.7483  11.2559  13.43  0.949
20120105.2310648  2012-01-04T19:32:44    11  URANUS  daisy        850  53  1.24  0.724  0.061  0.260  23.1591  0.0298  0.00006  0.09729  0.10079  2.6542  0.0034  595.5716  7.5261  648.1634  12.0479  13.53  0.949
20120105.2983449  2012-01-04T21:09:37    20  URANUS  daisy        850  32  1.88  0.570  0.069  0.300  23.8094  0.0273  0.00007  0.09379  0.10118  2.5815  0.0030  593.1886  6.4616  620.9327  12.6160  13.71  0.951
20120106.2427083  2012-01-05T19:49:30     9  URANUS  daisy        850  49  1.32  0.744  0.053  0.224  23.3551  0.0300  0.00006  0.09636  0.10038  2.6276  0.0034  597.0216  7.9198  651.0036  12.9546  13.47  0.950
20120106.2484491  2012-01-05T19:57:46    11  URANUS  daisy        850  47  1.36  0.726  0.055  0.235  23.6912  0.0261  0.00005  0.09553  0.10164  2.5903  0.0029  589.6189  8.1483  654.3926  12.2578  13.46  0.950
